Titile,Review
No as good as past,"So I always thought Jet Blue was better than others however it seems they have declined in quality. Now running out of advertised drinks and food, TV often not working...airline personnel lacking friendly attitudes....what happened????"
"Free and fast Internet, great service","It was very good flight. Easy check in, short TSA line, convenient chairs, free and fast internet, good selection of movies."
Disorganized,"I learned all about taping out and timing out. The flight was delayed several time then cancelled -- but then not cancelled- then delayed again. Went through security 3 times. Missed connection and had to cancel trip. The girl at counter was trying her best, but no"
Flight was on time and landed early,"The staff at Providenciales Airport were pleasant, courteous and attentive and eager to assist. There were no long lines. I was immediately assisted and my bag checked. We boarded on time and left on time. We somehow landed an hour early which was great. The flight was"
Will use again.,Great flight. On time. Good leg room in economy. We did have a long wait because of limited number of flights for our route.
Interesting Service Approach,"Comfy seats--even in the middle. Enough leg room. But the attendants made only one pass through the cabin on a coast-to-coast morning flight, inviting people who wanted anything to use a kiosk set up mid-plane to get anything else one might want. Reinforces that one should"
THE BEST AIRLINE COAST TO COAST,"I enjoy flying jetBlue coast to coast. The JFK airport is tops, the food on the flight is edible and reasonably priced, the seats in Economy are comfortable."
One of the BEST airlines around,"I usually fly Southwest, United, or American but my older sister told me about JetBlue so I have tried them a few times. This airline is so underrated. This particular flight was AMAZING. They boarded ON TIME. They had super friendly flight attendents. We pulled off ON TIME; and"
Great flight.,I love jet blue. They have great leg room very spacious. They have a great selection of snacks and drinks and really cater to you. You can watch free movies and TV while flying which makes the time go by quickly. I would highly recommend this airline you won't regret it.
Flying to get on a cruise boat,Best flight ever !! The captain spoke to the passengers before take off and introduced all crew members. The captain kept us up to date on any changes in weather. Upon landing the captain personally thanked each passenger for flying as he was outside the cockpit to see each
Rip-off!!!,Was asked to pay $30 to get a window seat!! Seriously??? Rude staff at Gate# 10 at MBJ. Will try a different airline next time.
Why jetBlue,"This could have been a disaster, We were informed that due to a hard landing our aircraft needed to be delayed for an hour. An hour later the baggage was taken off the plane and we were told that a new crew had to be located. After collecting our bags I received a text that a"
Great service and even arrived early,Jetblue is my favorite airlines especially when it's a direct flight to where I am flying. The service you get from when you are boarding the to when you land is great. One of the biggest benefits is the fact that you can watch TV and they even have movies you can watch on the
Friendly skies,"Flew on Jetblue for the first time . It seems that every employee was extremely nice . It felt like the seats had more room than other airlines. When exiting the plane , the pilot came out to say hello to everyone. Will definitely fly them again . Just wish they had more"
Even More Space Seats Good; Service Average,"The Even More Space seats are a very good value. You get a lot more space than the extra leg-room seats on Delta, American, United or Alaska. While the hard product is good, the food available for sale and the in-flight entertainment are not (although the free wifi, when it is"
JetBlue,Just got back from a vacation to Guanacaste Costa Rica. We used Jetblue out of JFK as it offered direct flight to LIR. Jetblue provide good service and both our flights left on time.
Disappointed,JetBlue used to have better service and friendlier flight attendants. It’s bevome another job to them and in no way about providing a good customer service experience.
